907	PGE 2 promotes intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes.
350	Discrimination between the initiator and elongation tRNAs depends on the translation initiation factor IF3.
230	Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.
593	Incidence of heart failure decreased by 10% in women since 1979.
1216	The extracellular domain of TMEM27 is cleaved in human beta cells.
1337	Ubiquitin ligase UBC13 generates a K63-linked polyubiquitin moiety at PCNA K164.
232	Cataract and trachoma are the primary cause of blindness in Southern Sudan.
1336	UCB T cells reduce TCR diversity after transplantation.
233	Cell autonomous sex determination in somatic cells does not occur in Galliformes.
354	Downregulation and mislocalization of Scribble prevents cell transformation and mammary tumorigenesis.
475	Glycolysis is one of the primary glycometabolic pathways in cells.
113	Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.
1335	UCB T cells maintain high TCR diversity after transplantation.
597	Incidence rates of cervical cancer have decreased.
1213	The deregulated and prolonged activation of monocytes has deleterious effects in inflammatory diseases.
598	Incidence rates of cervical cancer have increased due to nationwide screening programs based primarily on cytology to detect uterine cervical cancer.
115	Anthrax spores can be disposed of easily after they are dispersed.
236	Cell autonomous sex determination in somatic cells occurs in Passeriformes.
478	Golli-deficient T-cells prefer to differentiate into an anergic phenotype in the adaptive immune response when there are increased levels of Ca2+ in the cytosol.
1332	Tumor necrosis factor alpha (TNF-α) and interleukin-1 (IL-1) are pro-inflammatory cytokines that inhibit IL-6 and IL-10.
237	Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.
238	Cells undergoing methionine restriction may activate miRNAs.
118	Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile
239	Cellular aging closely links to an older appearance.
911	PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.
913	PPAR-RXRs are inhibited by PPAR ligands.
914	PPAR-RXRs can be activated by PPAR ligands.
1339	Ultrasound guidance significantly raises the number of traumatic procedures when attempting needle insertion.
13	5% of perinatal mortality is due to low birth weight.
